,uuid,KEY,City,Site,Sex_HH,ObsHandWashPLACE,ObsHandWashSOAP,ObsHandWashWATER,ToiletFacility,ToiletFacilityTYPE,ToiletFacilityTYPE_Dry,ToiletFacilityTYPE_Flush,ToiletFacilitySHARE,ToiletROOF,ToiletFacilityCLEAN,ToiletFacilitySAFE,StreetFood,dist2wc,HH_Recor_2_lag,HH_Recor_2_std,b_area,NN_100,n_blg_cc,n_blg_ccM,n_CAR,n_CARM,n_mn_Bdev,n_mn_BdevM,WCdirtyS
806,4add689d7a314c899ba5137cc65e8265,uuid:00a08ae3-c1c9-4524-ae19-e38ebe87394d,Nairobi,Mabatini,M,Obs_Mobile,None,Water_NOT_OK,Own_YardPlot,Flush,,Flush_piped,Y,,Clean,Any_time,2_4,0.0,1607.1981339262381,0.26439177393224905,31.805462447234426,225,0.577650166950533,0.478836191402203,0.429979624792646,0.641390357304721,4.636395538219356,3.077445151721693,0.0
807,4add689d7a314c899ba5137cc65e8265,uuid:f3c9b4e8-c335-4d04-ba06-f9de3abc1056,Nairobi,Mabatini,M,Obs_Mobile,SoapOrDeterg,Water_OK,Public,Flush,,Flush_river,Y,,Clean,During_Day,0_1,75.80204822797864,1604.925919720738,0.18932379629577073,43.92082974740837,226,0.390291659893956,0.464113991208581,0.827968830592765,0.632352334362113,1.835760495735173,4.192103362253024,0.0
808,4add689d7a314c899ba5137cc65e8265,uuid:91fcdde8-8bfc-49a5-bea0-60dab27a9f5a,Nairobi,Mabatini,F,,,,Public,Flush,,Flush_piped,Y,,Clean,Any_time,5_Or_More,33.73617694251545,1625.1728883059473,0.8582303550532443,65.47555662281484,246,0.320739040480466,0.458162781139887,0.909231084343685,0.648815049035959,2.109417740539445,2.628711320244488,0.0
809,de1472b6c9754103927d0d478c541e68,uuid:d3911826-c4f3-4ef5-9662-cd98b264b180,Nairobi,Mabatini,F,,,,Public,Flush,,Flush_piped,Y,,Clean,During_Day,5_Or_More,13.061805211122765,1620.4450199012906,0.7020340251430315,59.61563485963962,218,0.494409138948723,0.458182062849767,0.904018092585003,0.661200140025136,1.403776526147148,2.412218689885352,0.0
810,4add689d7a314c899ba5137cc65e8265,uuid:131f6577-2096-464a-ac20-232ef3eaff41,Nairobi,Mabatini,F,Obs_Mobile,SoapOrDeterg,Water_OK,Public,DryOrCompost,Dry_FreshLife,,Y,,Clean,During_Day,5_Or_More,13.087516922592291,1609.4656245722595,0.3393036975943858,80.56295451605287,213,0.311879553158315,0.48148469728066,0.691441974162745,0.63809983728148,0.823391035800931,4.361586819676952,0.0
811,4add689d7a314c899ba5137cc65e8265,uuid:c5c6519d-d842-4b4c-a13b-43715232dbdb,Nairobi,Mabatini,M,Obs_Fixed,SoapOrDeterg,Water_OK,Own_YardPlot,Flush,,Flush_piped,Y,,Clean,Any_time,0_1,0.0,1624.9903018206264,0.8521981780852415,131.55252225489866,166,0.11561878505172,0.379135021740397,0.865259513315075,0.644899101898905,1.518324096182198,1.821246238519018,0.0
812,4add689d7a314c899ba5137cc65e8265,uuid:0e4d123d-33da-466f-a361-63f5c9497c5d,Nairobi,Mabatini,M,,,,Public,Flush,,Flush_piped,Y,,Dirty,During_Day,0_1,17.92646700587908,1610.1327112523888,0.3613424859552402,84.87559055829279,258,0.441898638705588,0.502979054242803,0.626111459084548,0.644032233915251,3.280103303699014,3.079244947858172,0.0
813,4add689d7a314c899ba5137cc65e8265,uuid:cbf3bf19-d657-4098-8c0b-92e01c661f3f,Nairobi,Mabatini,F,,,,Own_YardPlot,Flush,,Flush_river,Y,,Clean,During_Day,5_Or_More,0.0,1611.0116362701872,0.39037985550451787,84.96235436236563,185,0.553588336183755,0.481391054186171,0.714537498413359,0.622698827044078,6.092183356639261,4.616108492450198,0.0
814,de1472b6c9754103927d0d478c541e68,uuid:39ed29eb-aa85-4847-9a5e-c331c899b6d3,Nairobi,Mabatini,F,,,,Own_YardPlot,Flush,,Flush_piped,Y,,Clean,Any_time,5_Or_More,0.0,1617.384884996291,0.6009352211407265,31.91289675561611,127,0.568022278638072,0.462001609348911,0.519775773317695,0.616889016379272,10.225280434806432,4.647723601346088,0.0
815,4add689d7a314c899ba5137cc65e8265,uuid:d14fcc6d-d969-471b-9945-7625fe261769,Nairobi,Mabatini,F,Obs_Mobile,None,Water_NOT_OK,Own_YardPlot,Flush,,Flush_river,Y,,Dirty,Any_time,5_Or_More,0.0,1609.0581094608042,0.32584047075635225,211.8149633940211,252,0.106639672412241,0.478240506777012,0.961326575766624,0.707800698023584,2.534956565632815,1.985638588802741,1.0
